"parameter" "lowerquantile" "median" "upperquantile" "logit" "natural" "mu" "sigma" "a"
"1" "alpha1" 0.35 0.6 0.85 TRUE FALSE -0.129884718643492 0.831840415594688 1.75228565471782
"2" "alpha2" 0.55 0.67 0.85 TRUE FALSE 0.266359419389977 0.655054809158347 5.6026167992546
"3" "theta1" 0.2 0.5 0.8 TRUE FALSE -0.0109637959200891 0.707391006251083 0.0194292306610267
"4" "theta2" 0.1 0.25 0.5 TRUE FALSE -1.10681994429410 0.560586854169036 0.0183535588138065
"5" "mu" 1.4 2.33 4 FALSE FALSE 0.691093805796126 0.311153176991893 0.832376171024336
"6" "omega" 0.5 0.875 1.4 FALSE FALSE 0.0763191070291649 0.343317903888351 -1.37869196184161
"7" "omega0" 0.0625 0.125 0.25 FALSE FALSE -2.0769948655649 0.353661482659269 -0.00867096517512308
"8" "beta" 0.016 0.033 0.1 FALSE FALSE -3.8826727034851 0.704954799536723 2.60077860143332
"9" "p" 0.2 1 5 FALSE FALSE 0.00847952831958249 0.82120066246551 -0.0129426807899840
"10" "a1" -2 0 2 FALSE TRUE 0.0176284206524078 1.02057914973428 -0.0216542828172344
"11" "b1" 0.025 0.5 0.975 TRUE FALSE -0.0255178243312852 1.86937263538840 0.0171112184939591
"12" "a2" -2 0 2 FALSE TRUE 0.0111168731263345 1.02048747090084 -0.0136546789877276
"13" "b2" 0.025 0.5 0.975 TRUE FALSE 0.0196288255376046 1.86930150827413 -0.0131618853321898
"14" "contactpara1" 0.1 1 10 FALSE FALSE 0.0131719654082199 1.17488373877226 -0.0140528680175833
"15" "contactpara2" 0.1 1 10 FALSE FALSE -0.0147705862496694 1.17490274598897 0.0157586063903223
"16" "contactpara3" 0.1 1 10 FALSE FALSE 0.0169636721924414 1.17493238391103 -0.0180987549867297
"17" "h1" 0.05 0.1 0.15 TRUE FALSE -1.87748366138031 0.476021245377584 -2.94694898758077
"18" "h2" 0.05 0.1 0.15 TRUE FALSE -1.87748366138036 0.476021245377505 -2.94694898757908
"19" "fact1" 0.5 1 2 FALSE FALSE -0.00459850633287390 0.353682911685096 0.0162978020166389
"20" "fact2" 0.5 1 2 FALSE FALSE -0.0081609226861903 0.353747170187505 0.0289277759479315
"21" "disp" 0.2 1 5 FALSE FALSE -0.0154203833183366 0.821301667823914 0.0235391523836994
